Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,,,,,
09/03/2026,183149,CABELUDOBAR,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",183149,MTT,,,
09/03/2026,183155,AQUI E SO ALL-IN,None,0,0,0, R$  -   ,,,,183155,NLH,,,
09/03/2026,183271,gIockboy,None,0,0,0, R$  -   ,,,,183271,NLH,,,
09/03/2026,185182,pix185182,None,0,"2,2",0," R$  2,20 ","0,00%","100,00%","0,00%",185182,MTT,,,
09/03/2026,188357,Rosane,None,0,0,0, R$  -   ,,,,188357,NLH,,,
09/03/2026,188969,Gylly CWB,None,0,0,0, R$  -   ,,,,188969,NLH,,,
09/03/2026,188990,Jacke,None,0,"0,4",0," R$  0,40 ","0,00%","100,00%","0,00%",188990,MTT,,,
09/03/2026,189281,pix189281,None,0,0,0, R$  -   ,,,,189281,NLH,,,
09/03/2026,190191,Paulo XM,None,"30,04","0,9",0," R$  30,94 ","97,09%","2,91%","0,00%",190191,NLH,,,
09/03/2026,192127,EuSouChato??,None,0,0,0, R$  -   ,,,,192127,NLH,,,
09/03/2026,192188,Suzana25,None,0,0,0, R$  -   ,,,,192188,NLH,,,
09/03/2026,192635,jandao,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",192635,MTT,,,
09/03/2026,193356,pix193356,None,0,0,0, R$  -   ,,,,193356,NLH,,,
09/03/2026,193440,N2SF,None,0,"4,5",0," R$  4,50 ","0,00%","100,00%","0,00%",193440,MTT,,,
09/03/2026,193624,pix193624,None,0,0,0, R$  -   ,,,,193624,NLH,,,
09/03/2026,193695,pix193695,None,0,"1,2",0," R$  1,20 ","0,00%","100,00%","0,00%",193695,MTT,,,
09/03/2026,193749,sandrao,None,0,0,0, R$  -   ,,,,193749,NLH,,,
09/03/2026,193840,sougg,None,0,0,0, R$  -   ,,,,193840,NLH,,,
09/03/2026,193901,jbcruz,None,0,"0,6",0," R$  0,60 ","0,00%","100,00%","0,00%",193901,MTT,,,
09/03/2026,193976,pix193976,None,0,0,0, R$  -   ,,,,193976,NLH,,,
09/03/2026,193980,pix193980,None,0,0,0, R$  -   ,,,,193980,NLH,,,
09/03/2026,161160,GULOSO,None,0,0,"14,97"," R$  14,97 ","0,00%","0,00%","100,00%",161160,PLO6,,,
09/03/2026,173795,KingJames24,None,0,10,0," R$  10,00 ","0,00%","100,00%","0,00%",173795,MTT,,,
09/03/2026,193981,Mk 084,None,"46,44",7,0," R$  53,44 ","86,90%","13,10%","0,00%",193981,NLH,,,
09/03/2026,105405,Saulo eto’0,None,"0,54",0,0," R$  0,54 ","100,00%","0,00%","0,00%",105405,NLH,,,
09/03/2026,138468,MB10,None,"5,55",0,0," R$  5,55 ","100,00%","0,00%","0,00%",138468,NLH,,,
09/03/2026,154334,space burguer,None,"0,02",0,0," R$  0,02 ","100,00%","0,00%","0,00%",154334,NLH,,,
09/03/2026,155894,VilAAr,None,"0,42",0,0," R$  0,42 ","100,00%","0,00%","0,00%",155894,NLH,,,
09/03/2026,158561,HMOREIRA,None,"9,32",0,0," R$  9,32 ","100,00%","0,00%","0,00%",158561,NLH,,,
09/03/2026,159619,Don'tForgetTheJocker,None,"29,64","0,3",0," R$  29,94 ","99,00%","1,00%","0,00%",159619,NLH,,,
09/03/2026,172229,dagataa,None,"42,11",0,"0,88"," R$  42,99 ","97,95%","0,00%","2,05%",172229,NLH,,,
09/03/2026,173035,JeffCGPB.,None,"53,49","1,7","0,11"," R$  55,30 ","96,73%","3,07%","0,20%",173035,NLH,,,
09/03/2026,173088,Bia777,None,"14,06",0,0," R$  14,06 ","100,00%","0,00%","0,00%",173088,NLH,,,
09/03/2026,178448,smoke88,None,"29,89",0,0," R$  29,89 ","100,00%","0,00%","0,00%",178448,NLH,,,
09/03/2026,179974,Bezim09,None,"3,17",0,0," R$  3,17 ","100,00%","0,00%","0,00%",179974,NLH,,,
09/03/2026,181613,tyago,None,"2,14",0,"4,55"," R$  6,69 ","31,99%","0,00%","68,01%",181613,PLO6,,,
09/03/2026,185894,pix185894,None,"3,58","0,9","94,64"," R$  99,12 ","3,61%","0,91%","95,48%",185894,PLO6,,,
09/03/2026,186438,pega noob,None,"0,05",0,"2,04"," R$  2,09 ","2,39%","0,00%","97,61%",186438,PLO6,,,
09/03/2026,186784,Novinski,None,"0,41","0,1",0," R$  0,51 ","80,39%","19,61%","0,00%",186784,NLH,,,
09/03/2026,188365,pix188365,None,"12,65","1,8",0," R$  14,45 ","87,54%","12,46%","0,00%",188365,NLH,,,
09/03/2026,193876,Brenote22,None,"2,42",0,0," R$  2,42 ","100,00%","0,00%","0,00%",193876,NLH,,,
09/03/2026,194002,nekkko,None,"0,19",0,0," R$  0,19 ","100,00%","0,00%","0,00%",194002,NLH,,,
09/03/2026,194005,Tuts vida ?,None,"7,13",0,"17,99"," R$  25,12 ","28,38%","0,00%","71,62%",194005,PLO6,,,
09/03/2026,194193,davizaoAAAA,None,"2,24","0,2",0," R$  2,44 ","91,80%","8,20%","0,00%",194193,NLH,,,
09/03/2026,194225,pix194225,None,"4,3",0,0," R$  4,30 ","100,00%","0,00%","0,00%",194225,NLH,,,
09/03/2026,173441,Pão??,None,0,0,"11,06"," R$  11,06 ","0,00%","0,00%","100,00%",173441,PLO6,,,
09/03/2026,101748,Rafinhachulapa,None,0,"3,6","2,23"," R$  5,83 ","0,00%","61,75%","38,25%",101748,MTT,,,
09/03/2026,118827,Uilian,None,"4,29","1,6","5,7"," R$  11,59 ","37,01%","13,81%","49,18%",118827,PLO6,,,
09/03/2026,187618,RenannLima,None,0,0,"1,01"," R$  1,01 ","0,00%","0,00%","100,00%",187618,PLO6,,,
09/03/2026,191484,Fumacinha,None,"8,69",0,0," R$  8,69 ","100,00%","0,00%","0,00%",191484,NLH,,,
09/03/2026,160141,Piaca2024,None,0,"7,8","5,43"," R$  13,23 ","0,00%","58,96%","41,04%",160141,MTT,,,
09/03/2026,194145,Caua bt,None,"21,46",0,"1,28"," R$  22,74 ","94,37%","0,00%","5,63%",194145,NLH,,,
09/03/2026,166608,TUDO DO TZ,None,"30,25","1,2","1,58"," R$  33,03 ","91,58%","3,63%","4,78%",166608,NLH,,,
09/03/2026,194470,pix194470,None,"3,29",0,0," R$  3,29 ","100,00%","0,00%","0,00%",194470,NLH,,,
09/03/2026,106910,alexmast223,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",106910,MTT,,,
09/03/2026,112267,vinicartas,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",112267,MTT,,,
09/03/2026,132044,FASH1N4,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",132044,MTT,,,
09/03/2026,140263,Deivão,None,0,"1,2",0," R$  1,20 ","0,00%","100,00%","0,00%",140263,MTT,,,
09/03/2026,160495,gmorett,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",160495,MTT,,,
09/03/2026,167119,pix167119,None,"2,38","1,4",0," R$  3,78 ","62,96%","37,04%","0,00%",167119,NLH,,,
09/03/2026,169002,MTAM889,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",169002,MTT,,,
09/03/2026,171603,rvobrabo,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",171603,MTT,,,
09/03/2026,173125,SANTOS21,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",173125,MTT,,,
09/03/2026,175847,JoãodeQuinca,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",175847,MTT,,,
09/03/2026,176138,otrembb??,None,"1,18","5,8",0," R$  6,98 ","16,91%","83,09%","0,00%",176138,MTT,,,
09/03/2026,177691,pix177691,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",177691,MTT,,,
09/03/2026,180210,pix180210,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",180210,MTT,,,
09/03/2026,182909,comedo de curioso,None,"0,29","6,8",0," R$  7,09 ","4,09%","95,91%","0,00%",182909,MTT,,,
09/03/2026,193550,carl$kk,None,0,"0,4",0," R$  0,40 ","0,00%","100,00%","0,00%",193550,MTT,,,
09/03/2026,193950,pix193950,None,"2,67","0,4",0," R$  3,07 ","86,97%","13,03%","0,00%",193950,NLH,,,
09/03/2026,107212,1597,None,0,1,0," R$  1,00 ","0,00%","100,00%","0,00%",107212,MTT,,,
09/03/2026,146679,JOTAT,None,"3,64","9,9",0," R$  13,54 ","26,88%","73,12%","0,00%",146679,MTT,,,
09/03/2026,148535,amisraelchai??,None,0,"31,8",0," R$  31,80 ","0,00%","100,00%","0,00%",148535,MTT,,,
09/03/2026,157266,GB-GB,None,"1,81",0,0," R$  1,81 ","100,00%","0,00%","0,00%",157266,NLH,,,
09/03/2026,185295,David blefador,None,"5,99",0,0," R$  5,99 ","100,00%","0,00%","0,00%",185295,NLH,,,
09/03/2026,107582,Xerebel,None,0,17,0," R$  17,00 ","0,00%","100,00%","0,00%",107582,MTT,,,
09/03/2026,189235,pix189235,None,0,55,0," R$  55,00 ","0,00%","100,00%","0,00%",189235,MTT,,,
09/03/2026,194057,Bad Fallen,None,0,48,0," R$  48,00 ","0,00%","100,00%","0,00%",194057,MTT,,,
09/03/2026,157697,Papaipega,None,0,76,0," R$  76,00 ","0,00%","100,00%","0,00%",157697,MTT,,,
09/03/2026,168156,JhonBad,None,0,"13,5",0," R$  13,50 ","0,00%","100,00%","0,00%",168156,MTT,,,
09/03/2026,172998,Pililiu02,None,0,0,"1,06"," R$  1,06 ","0,00%","0,00%","100,00%",172998,PLO6,,,
09/03/2026,192583,pp07,None,0,0,"3,9"," R$  3,90 ","0,00%","0,00%","100,00%",192583,PLO6,,,
09/03/2026,106309,AcademiaDePoker,None,0,5,0," R$  5,00 ","0,00%","100,00%","0,00%",106309,MTT,,,
09/03/2026,145413,vgp011,None,0,"2,9",0," R$  2,90 ","0,00%","100,00%","0,00%",145413,MTT,,,
09/03/2026,159197,zuzu,None,0,"11,7",0," R$  11,70 ","0,00%","100,00%","0,00%",159197,MTT,,,
09/03/2026,145593,johnn,None,0,"5,9",0," R$  5,90 ","0,00%","100,00%","0,00%",145593,MTT,,,
09/03/2026,149329,pix149329,None,0,"0,3",0," R$  0,30 ","0,00%","100,00%","0,00%",149329,MTT,,,
09/03/2026,165324,Polegar,None,0,"0,3",0," R$  0,30 ","0,00%","100,00%","0,00%",165324,MTT,,,
09/03/2026,170099,Alexandre fm,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",170099,MTT,,,
09/03/2026,172443,Keno,None,0,"0,7",0," R$  0,70 ","0,00%","100,00%","0,00%",172443,MTT,,,
09/03/2026,177692,pix177692,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",177692,MTT,,,
09/03/2026,177693,pix177693,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",177693,MTT,,,
09/03/2026,180584,lagarto171,None,"1,86","3,6",0," R$  5,46 ","34,07%","65,93%","0,00%",180584,MTT,,,
09/03/2026,183471,pix183471,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",183471,MTT,,,
09/03/2026,186413,pix186413,None,0,"1,3",0," R$  1,30 ","0,00%","100,00%","0,00%",186413,MTT,,,
09/03/2026,189082,luketa_,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",189082,MTT,,,
09/03/2026,192545,jcfpassos,None,0,"6,5",0," R$  6,50 ","0,00%","100,00%","0,00%",192545,MTT,,,
09/03/2026,194302,pix194302,None,0,"2,1",0," R$  2,10 ","0,00%","100,00%","0,00%",194302,MTT,,,
09/03/2026,194473,segundopoker,None,0,"31,8",0," R$  31,80 ","0,00%","100,00%","0,00%",194473,MTT,,,
09/03/2026,110511,elchapo?,None,0,0,"16,99"," R$  16,99 ","0,00%","0,00%","100,00%",110511,PLO6,,,
09/03/2026,115286,America RN??,None,0,0,"2,97"," R$  2,97 ","0,00%","0,00%","100,00%",115286,PLO6,,,
09/03/2026,163293,pix163293,None,0,0,"14,39"," R$  14,39 ","0,00%","0,00%","100,00%",163293,PLO6,,,
09/03/2026,173360,vigarista??,None,"19,29",0,0," R$  19,29 ","100,00%","0,00%","0,00%",173360,NLH,,,
09/03/2026,165380,Ghostface,None,"9,44","40,5",0," R$  49,94 ","18,90%","81,10%","0,00%",165380,MTT,,,
09/03/2026,182051,patraozinho,None,"5,49",7,"37,87"," R$  50,36 ","10,90%","13,90%","75,20%",182051,PLO6,,,
09/03/2026,185757,chica,None,0,"15,6","15,64"," R$  31,24 ","0,00%","49,94%","50,06%",185757,PLO6,,,
09/03/2026,191631,CAIXA-BAIXA,None,0,"15,05",0," R$  15,05 ","0,00%","100,00%","0,00%",191631,MTT,,,
09/03/2026,194041,TAKUNAVARA,None,0,"3,05",0," R$  3,05 ","0,00%","100,00%","0,00%",194041,MTT,,,
09/03/2026,127799,W P S,None,"3,08",0,"1,72"," R$  4,80 ","64,17%","0,00%","35,83%",127799,NLH,,,
09/03/2026,193570,tuti,None,"7,3",0,"2,1"," R$  9,40 ","77,66%","0,00%","22,34%",193570,NLH,,,
09/03/2026,123986,D10xxx,None,0,"16,5","20,02"," R$  36,52 ","0,00%","45,18%","54,82%",123986,PLO6,,,
09/03/2026,144289,maakkaco26,None,0,0,0, R$  -   ,,,,144289,NLH,,,
09/03/2026,194332,pix194332,None,0,"37,9",0," R$  37,90 ","0,00%","100,00%","0,00%",194332,MTT,,,
09/03/2026,190931,pix190931,None,"1,37",0,"2,31"," R$  3,68 ","37,23%","0,00%","62,77%",190931,PLO6,,,
09/03/2026,171411,?uturo?,None,0,"7,9",0," R$  7,90 ","0,00%","100,00%","0,00%",171411,MTT,,,
09/03/2026,193510,teslinha11,None,"10,14",0,"169,78"," R$  179,92 ","5,64%","0,00%","94,36%",193510,PLO6,,,
09/03/2026,112649,JomaMel,None,0,0,"0,06"," R$  0,06 ","0,00%","0,00%","100,00%",112649,PLO6,,,
09/03/2026,129756,pix129756,None,0,0,"13,96"," R$  13,96 ","0,00%","0,00%","100,00%",129756,PLO6,,,
09/03/2026,152480,Boca,None,0,0,"21,28"," R$  21,28 ","0,00%","0,00%","100,00%",152480,PLO6,,,
09/03/2026,153919,Boiadeiro,None,"26,7",0,"0,49"," R$  27,19 ","98,20%","0,00%","1,80%",153919,NLH,,,
09/03/2026,156053,Doidera66,None,0,0,"22,13"," R$  22,13 ","0,00%","0,00%","100,00%",156053,PLO6,,,
09/03/2026,165073,pix165073,None,0,0,"59,2"," R$  59,20 ","0,00%","0,00%","100,00%",165073,PLO6,,,
09/03/2026,176878,Guri2302,None,"6,28",4,"41,91"," R$  52,19 ","12,03%","7,66%","80,30%",176878,PLO6,,,
09/03/2026,184048,flmaia,None,0,0,"4,71"," R$  4,71 ","0,00%","0,00%","100,00%",184048,PLO6,,,
09/03/2026,188599,WalterWhite,None,0,"0,8","249,17"," R$  249,97 ","0,00%","0,32%","99,68%",188599,PLO6,,,
09/03/2026,189391,Shell271,None,"6,35",0,"22,47"," R$  28,82 ","22,03%","0,00%","77,97%",189391,PLO6,,,
09/03/2026,191481,pix191481,None,0,0,"0,49"," R$  0,49 ","0,00%","0,00%","100,00%",191481,PLO6,,,
09/03/2026,193960,ms__1,None,"6,88","2,16",0," R$  9,04 ","76,11%","23,89%","0,00%",193960,NLH,,,
09/03/2026,193341,mikezeira01,None,0,2,0," R$  2,00 ","0,00%","100,00%","0,00%",193341,MTT,,,
09/03/2026,128079,italoko,None,0,"8,3","47,16"," R$  55,46 ","0,00%","14,97%","85,03%",128079,PLO6,,,
09/03/2026,186800,pix186800,None,0,0,"32,91"," R$  32,91 ","0,00%","0,00%","100,00%",186800,PLO6,,,
09/03/2026,193505,temporei,None,0,0,"44,79"," R$  44,79 ","0,00%","0,00%","100,00%",193505,PLO6,,,
09/03/2026,184655,rodrigocxa,None,0,"5,6",0," R$  5,60 ","0,00%","100,00%","0,00%",184655,MTT,,,
09/03/2026,107336,slawer,None,0,0,0, R$  -   ,,,,107336,NLH,,,
09/03/2026,111444,amanga,None,0,"1,2","6,8"," R$  8,00 ","0,00%","15,00%","85,00%",111444,PLO6,,,
09/03/2026,112088,Eu!!,None,0,0,0, R$  -   ,,,,112088,NLH,,,
09/03/2026,132049,B4NDID0,None,0,0,0, R$  -   ,,,,132049,NLH,,,
09/03/2026,138917,pix138917,None,0,0,0, R$  -   ,,,,138917,NLH,,,
09/03/2026,148154,rafagm2005,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",148154,MTT,,,
09/03/2026,149604,NoBru,None,0,0,0, R$  -   ,,,,149604,NLH,,,
09/03/2026,152582,Leoluine,None,0,0,0, R$  -   ,,,,152582,NLH,,,
09/03/2026,153593,Tizil1,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",153593,MTT,,,
09/03/2026,153931,App Maracutaia,None,"0,4",0,0," R$  0,40 ","100,00%","0,00%","0,00%",153931,NLH,,,
09/03/2026,157958,pix157958,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",157958,MTT,,,
09/03/2026,158734,escaledita,None,0,0,0, R$  -   ,,,,158734,NLH,,,
09/03/2026,164753,A P ¹⁵⁷,None,0,0,0, R$  -   ,,,,164753,NLH,,,
09/03/2026,167084,LeoLuine1,None,0,0,0, R$  -   ,,,,167084,NLH,,,
09/03/2026,167268,LeoLuine2,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",167268,MTT,,,
09/03/2026,168427,behavior2,None,0,0,0, R$  -   ,,,,168427,NLH,,,
09/03/2026,172208,? REI,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",172208,MTT,,,
09/03/2026,175225,BADPITTY,None,0,0,0, R$  -   ,,,,175225,NLH,,,
09/03/2026,176256,Ceição,None,0,0,0, R$  -   ,,,,176256,NLH,,,
09/03/2026,176746,Mark Ivey,None,0,0,0, R$  -   ,,,,176746,NLH,,,
09/03/2026,177942,pix177942,None,0,"6,5",0," R$  6,50 ","0,00%","100,00%","0,00%",177942,MTT,,,
09/03/2026,179715,joker777louco,None,0,0,0, R$  -   ,,,,179715,NLH,,,
09/03/2026,179716,51épingachoraporco,None,0,0,0, R$  -   ,,,,179716,NLH,,,
09/03/2026,180674,Lumesmo ?,None,0,0,0, R$  -   ,,,,180674,NLH,,,
09/03/2026,181687,Lampião ?,None,0,0,0, R$  -   ,,,,181687,NLH,,,
09/03/2026,183952,behavio13,None,0,0,0, R$  -   ,,,,183952,NLH,,,
09/03/2026,188662,Dudu Trevoso,None,0,0,0, R$  -   ,,,,188662,NLH,,,
09/03/2026,192476,pix192476,None,0,0,0, R$  -   ,,,,192476,NLH,,,
09/03/2026,194367,pix194367,None,0,0,0, R$  -   ,,,,194367,NLH,,,
09/03/2026,188966,wildbountyshowdown,None,"2,28","17,2","77,72"," R$  97,20 ","2,35%","17,70%","79,96%",188966,PLO6,,,
09/03/2026,172253,bob Marley,None,"0,9",0,"26,36"," R$  27,26 ","3,30%","0,00%","96,70%",172253,PLO6,,,
09/03/2026,194472,pix194472,None,"0,39","0,1","0,66"," R$  1,15 ","33,91%","8,70%","57,39%",194472,PLO6,,,
09/03/2026,138157,Gigiroro,None,0,0,"211,49"," R$  211,49 ","0,00%","0,00%","100,00%",138157,PLO6,,,
09/03/2026,123911,IAGODT,None,"1,68",0,0," R$  1,68 ","100,00%","0,00%","0,00%",123911,NLH,,,
09/03/2026,187520,pix187520,None,"8,51","0,1",0," R$  8,61 ","98,84%","1,16%","0,00%",187520,NLH,,,
09/03/2026,191703,pix191703Benjamin,None,"4,85",0,0," R$  4,85 ","100,00%","0,00%","0,00%",191703,NLH,,,
09/03/2026,193667,FlavioBolsoanro,None,"17,96",0,0," R$  17,96 ","100,00%","0,00%","0,00%",193667,NLH,,,
09/03/2026,123060,Dayak,None,0,0,"4,58"," R$  4,58 ","0,00%","0,00%","100,00%",123060,PLO6,,,
09/03/2026,183216,preta02,None,0,0,"20,18"," R$  20,18 ","0,00%","0,00%","100,00%",183216,PLO6,,,
09/03/2026,189011,pix189011,None,0,"1,5","89,76"," R$  91,26 ","0,00%","1,64%","98,36%",189011,PLO6,,,
09/03/2026,194490,fliperama,None,0,0,"52,94"," R$  52,94 ","0,00%","0,00%","100,00%",194490,PLO6,,,
09/03/2026,112795,renancorrea1,None,0,0,"49,5"," R$  49,50 ","0,00%","0,00%","100,00%",112795,PLO6,,,
09/03/2026,189814,pix189814,None,0,0,"34,76"," R$  34,76 ","0,00%","0,00%","100,00%",189814,PLO6,,,
09/03/2026,194270,Laurinha,None,"8,26",0,"7,13"," R$  15,39 ","53,67%","0,00%","46,33%",194270,NLH,,,
09/03/2026,185542,pivete,None,0,0,"19,84"," R$  19,84 ","0,00%","0,00%","100,00%",185542,PLO6,,,
09/03/2026,123128,Diego Farias,None,"9,33",0,0," R$  9,33 ","100,00%","0,00%","0,00%",123128,NLH,,,
09/03/2026,193671,SeuMadruga,None,"64,84",0,0," R$  64,84 ","100,00%","0,00%","0,00%",193671,NLH,,,
09/03/2026,194226,gg18,None,"6,52",0,0," R$  6,52 ","100,00%","0,00%","0,00%",194226,NLH,,,
09/03/2026,151611,vai que mole,None,0,3,"219,88"," R$  222,88 ","0,00%","1,35%","98,65%",151611,PLO6,,,
09/03/2026,153693,Italo phb,None,"0,47",0,0," R$  0,47 ","100,00%","0,00%","0,00%",153693,NLH,,,
09/03/2026,170993,EleJot4,None,"1,47",0,0," R$  1,47 ","100,00%","0,00%","0,00%",170993,NLH,,,
09/03/2026,171895,BRR_magnificousSAGAZ,None,"3,63","0,6","1,93"," R$  6,16 ","58,93%","9,74%","31,33%",171895,NLH,,,
09/03/2026,171911,pix171911,None,"1,53",0,0," R$  1,53 ","100,00%","0,00%","0,00%",171911,NLH,,,
09/03/2026,172725,JJPreston,None,"4,51",0,0," R$  4,51 ","100,00%","0,00%","0,00%",172725,NLH,,,
09/03/2026,187298,gpascoal00,None,"0,77",0,0," R$  0,77 ","100,00%","0,00%","0,00%",187298,NLH,,,
09/03/2026,191116,Ladrão012,None,"2,88",0,0," R$  2,88 ","100,00%","0,00%","0,00%",191116,NLH,,,
09/03/2026,193178,10 ANO,None,"11,66",0,0," R$  11,66 ","100,00%","0,00%","0,00%",193178,NLH,,,
09/03/2026,194289,pix194289,None,"1,51",0,0," R$  1,51 ","100,00%","0,00%","0,00%",194289,NLH,,,
09/03/2026,194406,IsabellaGW,None,"0,99",0,0," R$  0,99 ","100,00%","0,00%","0,00%",194406,NLH,,,
09/03/2026,107482,igor de mael,None,0,"0,5","6,65"," R$  7,15 ","0,00%","6,99%","93,01%",107482,PLO6,,,
09/03/2026,123585,tudo nosso,None,"3,59",0,"7,98"," R$  11,57 ","31,03%","0,00%","68,97%",123585,PLO6,,,
09/03/2026,165468,pix165468,None,"7,82",0,"10,87"," R$  18,69 ","41,84%","0,00%","58,16%",165468,PLO6,,,
09/03/2026,191785,pix191785,None,0,0,"46,91"," R$  46,91 ","0,00%","0,00%","100,00%",191785,PLO6,,,
09/03/2026,144532,pix144532,None,0,"1,6",0," R$  1,60 ","0,00%","100,00%","0,00%",144532,MTT,,,
09/03/2026,139229,RatodaBad,None,"2,22",0,0," R$  2,22 ","100,00%","0,00%","0,00%",139229,NLH,,,
09/03/2026,165010,Thdoborel,None,"1,52",0,0," R$  1,52 ","100,00%","0,00%","0,00%",165010,NLH,,,
09/03/2026,194166,Daniboy,None,"42,54",0,0," R$  42,54 ","100,00%","0,00%","0,00%",194166,NLH,,,
09/03/2026,194294,pix194294,None,"21,14",0,0," R$  21,14 ","100,00%","0,00%","0,00%",194294,NLH,,,
09/03/2026,116140,Márcio Lins,None,"5,28","5,9",0," R$  11,18 ","47,23%","52,77%","0,00%",116140,MTT,,,
09/03/2026,139469,WKPE,None,"3,97",0,"2,22"," R$  6,19 ","64,14%","0,00%","35,86%",139469,NLH,,,
09/03/2026,171242,pix171242,None,"0,28","0,1",0," R$  0,38 ","73,68%","26,32%","0,00%",171242,NLH,,,
09/03/2026,173268,nacton silvq,None,"4,7",0,0," R$  4,70 ","100,00%","0,00%","0,00%",173268,NLH,,,
09/03/2026,173866,Matheusjopa,None,"0,61",0,0," R$  0,61 ","100,00%","0,00%","0,00%",173866,NLH,,,
09/03/2026,183910,anonimo33,None,"4,79","1,4",0," R$  6,19 ","77,38%","22,62%","0,00%",183910,NLH,,,
09/03/2026,188429,CÃO MIÚDO,None,"11,35","2,2","4,43"," R$  17,98 ","63,13%","12,24%","24,64%",188429,NLH,,,
09/03/2026,193670,JotaroPoker,None,"24,45",0,0," R$  24,45 ","100,00%","0,00%","0,00%",193670,NLH,,,
09/03/2026,194216,kamikazy,None,"0,52","2,6",0," R$  3,12 ","16,67%","83,33%","0,00%",194216,MTT,,,
09/03/2026,194363,meydson,None,"13,37",0,0," R$  13,37 ","100,00%","0,00%","0,00%",194363,NLH,,,
09/03/2026,194506,gay????,None,"1,64","1,1",0," R$  2,74 ","59,85%","40,15%","0,00%",194506,NLH,,,
09/03/2026,138087,Shove 72 off,None,0,"0,5","94,91"," R$  95,41 ","0,00%","0,52%","99,48%",138087,PLO6,,,
09/03/2026,157703,2127,None,0,0,"98,99"," R$  98,99 ","0,00%","0,00%","100,00%",157703,PLO6,,,
09/03/2026,187314,pix187314,None,0,"0,3","99,27"," R$  99,57 ","0,00%","0,30%","99,70%",187314,PLO6,,,
09/03/2026,194471,cebolla,None,0,"15,2",0," R$  15,20 ","0,00%","100,00%","0,00%",194471,MTT,,,
09/03/2026,189882,pix189882,None,0,0,"14,21"," R$  14,21 ","0,00%","0,00%","100,00%",189882,PLO6,,,
09/03/2026,168074,th07,None,0,"2,4",0," R$  2,40 ","0,00%","100,00%","0,00%",168074,MTT,,,
09/03/2026,102585,claudia,None,0,0,0, R$  -   ,,,,102585,NLH,,,
09/03/2026,106842,thiagonapoleao,None,0,0,0, R$  -   ,,,,106842,NLH,,,
09/03/2026,112160,Njr034,None,0,0,"0,61"," R$  0,61 ","0,00%","0,00%","100,00%",112160,PLO6,,,
09/03/2026,123058,pix123058,None,0,"0,6",0," R$  0,60 ","0,00%","100,00%","0,00%",123058,MTT,,,
09/03/2026,139373,BOLOTEEEEEE,None,0,0,0, R$  -   ,,,,139373,NLH,,,
09/03/2026,144718,RegisNegão144718,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",144718,MTT,,,
09/03/2026,148603,Gusmao01,None,0,0,0, R$  -   ,,,,148603,NLH,,,
09/03/2026,153573,dbart,None,0,0,0, R$  -   ,,,,153573,NLH,,,
09/03/2026,154223,pedriinho,None,0,0,0, R$  -   ,,,,154223,NLH,,,
09/03/2026,156017,Manda100Manda50,None,0,0,0, R$  -   ,,,,156017,NLH,,,
09/03/2026,157881,manda o pix,None,0,0,0, R$  -   ,,,,157881,NLH,,,
09/03/2026,158851,Marques,None,0,0,0, R$  -   ,,,,158851,NLH,,,
09/03/2026,159392,Drps,None,0,0,0, R$  -   ,,,,159392,NLH,,,
09/03/2026,162039,deras,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",162039,MTT,,,
09/03/2026,167203,Felypi05,None,0,0,0, R$  -   ,,,,167203,NLH,,,
09/03/2026,168955,pix168955,None,0,0,0, R$  -   ,,,,168955,NLH,,,
09/03/2026,169016,Creck,None,0,1,0," R$  1,00 ","0,00%","100,00%","0,00%",169016,MTT,,,
09/03/2026,171178,JeessiQueiroz,None,0,0,0, R$  -   ,,,,171178,NLH,,,
09/03/2026,172670,pix172670,None,"4,93","0,1",0," R$  5,03 ","98,01%","1,99%","0,00%",172670,NLH,,,
